Model,scenario,obj_value,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
FCFS,1227,14100.0,40,803.0,3,0,5,5,4,3,17.196616172790527
FCFS,1228,11100.0,40,698.0,3,0,5,3,4,3,21.41014051437378
FCFS,1229,12100.0,40,725.0,3,1,5,3,4,3,11.58109188079834
FCFS,1230,12600.0,40,797.0,3,0,5,4,4,3,66.71122860908508
FCFS,1231,10600.0,40,690.0,3,1,5,2,4,3,14.319837808609009
FCFS,1232,13100.0,40,669.0,2,2,4,3,4,3,29.522297859191895
FCFS,1233,11900.0,40,763.0,3,3,5,3,4,2,14.984052896499634
FCFS,1234,10600.0,40,702.0,3,1,5,2,4,3,114.71367001533508
FCFS,1235,12100.0,40,719.0,3,1,5,3,4,3,17.955403089523315
FCFS,1236,9700.0,40,707.0,3,3,5,3,4,1,132.528413772583
FCFS,1237,12400.0,40,695.0,3,2,5,4,4,2,27.122325897216797
FCFS,1238,12100.0,40,727.0,3,1,5,3,4,3,20.0944721698761
FCFS,1239,11600.0,40,720.0,3,2,5,2,4,3,47.592846155166626
FCFS,1240,14100.0,40,803.0,3,0,5,5,4,3,17.20453929901123
FCFS,1241,11100.0,40,698.0,3,0,5,3,4,3,21.45723295211792
FCFS,1242,12100.0,40,725.0,3,1,5,3,4,3,12.330507516860962
FCFS,1243,12600.0,40,797.0,3,0,5,4,4,3,66.06000661849976
FCFS,1244,10600.0,40,690.0,3,1,5,2,4,3,14.299525022506714
FCFS,1245,13100.0,40,669.0,2,2,4,3,4,3,29.41680908203125
FCFS,1246,11900.0,40,763.0,3,3,5,3,4,2,14.982360601425171
FCFS,1247,10600.0,40,702.0,3,1,5,2,4,3,114.8130693435669
FCFS,1248,12100.0,40,719.0,3,1,5,3,4,3,17.833993673324585
FCFS,1249,9700.0,40,707.0,3,3,5,3,4,1,132.6046724319458
FCFS,1250,12400.0,40,695.0,3,2,5,4,4,2,27.80083203315735
FCFS,1251,12100.0,40,727.0,3,1,5,3,4,3,20.338106632232666
FCFS,1252,11600.0,40,720.0,3,2,5,2,4,3,47.39981293678284
FCFS,1253,14100.0,40,803.0,3,0,5,5,4,3,17.417494773864746
FCFS,1254,11100.0,40,698.0,3,0,5,3,4,3,21.457080841064453
FCFS,1255,12100.0,40,725.0,3,1,5,3,4,3,12.352816104888916
FCFS,1256,12600.0,40,797.0,3,0,5,4,4,3,66.04568314552307
FCFS,1257,10600.0,40,690.0,3,1,5,2,4,3,14.322075128555298
FCFS,1258,13100.0,40,669.0,2,2,4,3,4,3,30.241491556167603
FCFS,1259,11900.0,40,763.0,3,3,5,3,4,2,15.709367990493774
FCFS,1260,10600.0,40,702.0,3,1,5,2,4,3,114.46835589408875
FCFS,1261,12100.0,40,719.0,3,1,5,3,4,3,17.707993745803833
FCFS,1262,9700.0,40,707.0,3,3,5,3,4,1,132.18339657783508
FCFS,1263,12400.0,40,695.0,3,2,5,4,4,2,26.81741166114807
FCFS,1264,12100.0,40,727.0,3,1,5,3,4,3,20.87008571624756
FCFS,1265,11600.0,40,720.0,3,2,5,2,4,3,47.415510177612305
FCFS,1266,14100.0,40,803.0,3,0,5,5,4,3,17.47424578666687
FCFS,1267,11100.0,40,698.0,3,0,5,3,4,3,21.4189453125
FCFS,1268,12100.0,40,725.0,3,1,5,3,4,3,11.620501279830933
FCFS,1269,12600.0,40,797.0,3,0,5,4,4,3,66.11939597129822
FCFS,1270,10600.0,40,690.0,3,1,5,2,4,3,14.060946226119995
FCFS,1271,13100.0,40,669.0,2,2,4,3,4,3,29.449166297912598
FCFS,1272,11900.0,40,763.0,3,3,5,3,4,2,15.21662449836731
FCFS,1273,10600.0,40,702.0,3,1,5,2,4,3,114.48344135284424
FCFS,1274,12100.0,40,719.0,3,1,5,3,4,3,17.696390628814697
FCFS,1275,9700.0,40,707.0,3,3,5,3,4,1,132.2078607082367
FCFS,1276,12400.0,40,695.0,3,2,5,4,4,2,27.61780548095703
FCFS,1277,12100.0,40,727.0,3,1,5,3,4,3,20.089471340179443
FCFS,1278,11600.0,40,720.0,3,2,5,2,4,3,47.34770846366882
FCFS,1279,14100.0,40,803.0,3,0,5,5,4,3,17.196803092956543
FCFS,1280,11100.0,40,698.0,3,0,5,3,4,3,21.660714149475098
FCFS,1281,12100.0,40,725.0,3,1,5,3,4,3,12.310345649719238
FCFS,1282,12600.0,40,797.0,3,0,5,4,4,3,66.08460235595703
FCFS,1283,10600.0,40,690.0,3,1,5,2,4,3,14.309181451797485
FCFS,1284,13100.0,40,669.0,2,2,4,3,4,3,29.47054100036621
FCFS,1285,11900.0,40,763.0,3,3,5,3,4,2,15.68261432647705
FCFS,1286,10600.0,40,702.0,3,1,5,2,4,3,114.74963617324829
FCFS,1287,12100.0,40,719.0,3,1,5,3,4,3,17.990772247314453
FCFS,1288,9700.0,40,707.0,3,3,5,3,4,1,133.0579833984375
FCFS,1289,12400.0,40,695.0,3,2,5,4,4,2,26.847517251968384
FCFS,1290,12100.0,40,727.0,3,1,5,3,4,3,20.36520004272461
FCFS,1291,11600.0,40,720.0,3,2,5,2,4,3,47.377378940582275
FCFS,1292,14100.0,40,803.0,3,0,5,5,4,3,17.189709186553955
FCFS,1293,11100.0,40,698.0,3,0,5,3,4,3,21.494850397109985
FCFS,1294,12100.0,40,725.0,3,1,5,3,4,3,11.57228422164917
FCFS,1295,12600.0,40,797.0,3,0,5,4,4,3,66.101567029953
FCFS,1296,10600.0,40,690.0,3,1,5,2,4,3,14.046444177627563
FCFS,1297,13100.0,40,669.0,2,2,4,3,4,3,29.36134147644043
FCFS,1298,11900.0,40,763.0,3,3,5,3,4,2,14.988814353942871
FCFS,1299,10600.0,40,702.0,3,1,5,2,4,3,114.739901304245
FCFS,1300,12100.0,40,719.0,3,1,5,3,4,3,17.718247413635254
FCFS,1301,9700.0,40,707.0,3,3,5,3,4,1,132.31833171844482
FCFS,1302,12400.0,40,695.0,3,2,5,4,4,2,27.667728900909424
FCFS,1303,12100.0,40,727.0,3,1,5,3,4,3,20.19295382499695
FCFS,1304,11600.0,40,720.0,3,2,5,2,4,3,47.65237236022949
FCFS,1305,14100.0,40,803.0,3,0,5,5,4,3,17.18855094909668
FCFS,1306,11100.0,40,698.0,3,0,5,3,4,3,21.39589786529541
FCFS,1307,12100.0,40,725.0,3,1,5,3,4,3,12.3573157787323
FCFS,1308,12600.0,40,797.0,3,0,5,4,4,3,66.03848052024841
FCFS,1309,10600.0,40,690.0,3,1,5,2,4,3,14.291569471359253
FCFS,1310,13100.0,40,669.0,2,2,4,3,4,3,29.47045874595642
FCFS,1311,11900.0,40,763.0,3,3,5,3,4,2,14.951576948165894
FCFS,1312,10600.0,40,702.0,3,1,5,2,4,3,114.48643374443054
FCFS,1313,12100.0,40,719.0,3,1,5,3,4,3,17.717073440551758
FCFS,1314,9700.0,40,707.0,3,3,5,3,4,1,132.42177629470825
FCFS,1315,12400.0,40,695.0,3,2,5,4,4,2,27.82469415664673
FCFS,1316,12100.0,40,727.0,3,1,5,3,4,3,20.144087076187134
FCFS,1317,11600.0,40,720.0,3,2,5,2,4,3,47.42046618461609
FCFS,1318,14100.0,40,803.0,3,0,5,5,4,3,17.414603233337402
FCFS,1319,11100.0,40,698.0,3,0,5,3,4,3,21.46830105781555
FCFS,1320,12100.0,40,725.0,3,1,5,3,4,3,12.353687047958374
FCFS,1321,12600.0,40,797.0,3,0,5,4,4,3,66.09631109237671
FCFS,1322,10600.0,40,690.0,3,1,5,2,4,3,14.044799327850342
FCFS,1323,13100.0,40,669.0,2,2,4,3,4,3,29.493461847305298
FCFS,1324,11900.0,40,763.0,3,3,5,3,4,2,14.962350130081177
FCFS,1325,10600.0,40,702.0,3,1,5,2,4,3,114.70254516601562
FCFS,1326,12100.0,40,719.0,3,1,5,3,4,3,17.75605607032776
FCFS,1327,9700.0,40,707.0,3,3,5,3,4,1,132.6323583126068
FCFS,1328,12400.0,40,695.0,3,2,5,4,4,2,27.8484947681427
FCFS,1329,12100.0,40,727.0,3,1,5,3,4,3,20.19228744506836
FCFS,1330,11600.0,40,720.0,3,2,5,2,4,3,47.42295980453491
FCFS,1331,14100.0,40,803.0,3,0,5,5,4,3,17.163758516311646
